"TCGA-02-0001-01C-01R-0179-07" "TCGA-02-0003-01A-01R-0179-07" "TCGA-02-0006-01B-01R-0179-07" "TCGA-02-0007-01A-01R-0179-07" "TCGA-02-0009-01A-01R-0179-07" "TCGA-02-0010-01A-01R-0179-07" "TCGA-02-0011-01B-01R-0179-07" "TCGA-02-0014-01A-01R-0179-07" "TCGA-02-0021-01A-01R-0179-07" "TCGA-02-0024-01B-01R-0179-07" "TCGA-02-0027-01A-01R-0179-07" "TCGA-02-0028-01A-01R-0179-07" "TCGA-02-0033-01A-01R-0179-07" "TCGA-02-0034-01A-01R-0179-07" "TCGA-02-0037-01A-01R-0179-07" "TCGA-02-0038-01A-01R-0179-07" "TCGA-02-0043-01A-01R-0179-07" "TCGA-02-0047-01A-01R-0179-07" "TCGA-02-0052-01A-01R-0179-07" "TCGA-02-0054-01A-01R-0179-07" "TCGA-02-0055-01A-01R-0179-07" "TCGA-02-0057-01A-01R-0179-07" "TCGA-02-0058-01A-01R-0179-07" "TCGA-02-0060-01A-01R-0179-07" "TCGA-02-0064-01A-01R-0195-07" "TCGA-02-0069-01A-01R-0195-07" "TCGA-02-0071-01A-01R-0195-07" "TCGA-02-0074-01A-01R-0195-07" "TCGA-02-0075-01A-01R-0195-07" "TCGA-02-0080-01A-01R-0195-07" "TCGA-02-0083-01A-01R-0195-07" "TCGA-02-0085-01A-01R-0195-07" "TCGA-02-0086-01A-01R-0195-07" "TCGA-02-0089-01A-01R-0195-07" "TCGA-02-0099-01A-01R-0195-07" "TCGA-02-0102-01A-01R-0195-07" "TCGA-02-0107-01A-01R-0195-07" "TCGA-02-0113-01A-01R-0195-07" "TCGA-02-0114-01A-01R-0195-07" "TCGA-02-0115-01A-01R-0195-07" "TCGA-02-0116-01A-01R-0195-07" "TCGA-06-0122-01A-01R-0213-07" "TCGA-06-0124-01A-01R-0213-07" "TCGA-06-0125-01A-01R-0213-07" "TCGA-06-0126-01A-01R-0213-07" "TCGA-06-0128-01A-01R-0213-07" "TCGA-06-0129-01A-01R-0213-07" "TCGA-06-0130-01A-01R-0213-07" "TCGA-06-0133-01A-02R-0213-07" "TCGA-06-0137-01B-02R-0213-07" "TCGA-06-0138-01A-02R-0229-07" "TCGA-06-0139-01A-01R-0213-07" "TCGA-06-0140-01A-01R-0213-07" "TCGA-06-0141-01A-01R-0213-07" "TCGA-06-0142-01A-01R-0213-07" "TCGA-06-0143-01A-01R-0213-07" "TCGA-06-0145-01A-06R-0213-07" "TCGA-06-0147-01A-02R-0229-07" "TCGA-06-0150-01A-01R-0229-07" "TCGA-06-0151-01A-01R-0229-07" "TCGA-06-0154-01A-03R-0229-07" "TCGA-06-0156-01A-03R-0229-07" "TCGA-06-0157-01A-01R-0229-07" "TCGA-06-0158-01A-01R-0229-07" "TCGA-06-0159-01A-01R-0229-07" "TCGA-06-0160-01A-01R-0229-07" "TCGA-06-0166-01A-01R-0229-07" "TCGA-06-0168-01A-02R-0229-07" "TCGA-06-0169-01A-01R-0213-07" "TCGA-06-0171-01A-02R-0229-07" "TCGA-06-0173-01A-01R-0229-07" "TCGA-06-0174-01A-01R-0229-07" "TCGA-06-0176-01A-03R-0229-07" "TCGA-06-0178-01A-01R-0229-07" "TCGA-06-0184-01A-01R-0229-07" "TCGA-06-0185-01A-01R-0229-07" "TCGA-06-0187-01A-01R-0229-07" "TCGA-06-0188-01A-01R-0229-07" "TCGA-06-0189-01A-05R-0229-07" "TCGA-06-0190-01A-01R-0229-07" "TCGA-06-0195-01B-01R-0229-07" "TCGA-06-0197-01A-02R-0229-07" "TCGA-06-0208-01B-01R-0229-07" "TCGA-06-0210-01B-01R-0229-07" "TCGA-06-0211-01B-01R-0229-07" "TCGA-06-0213-01A-01R-0229-07" "TCGA-06-0214-01A-02R-0229-07" "TCGA-06-0216-01A-01R-0229-07" "TCGA-06-0219-01A-01R-0229-07" "TCGA-06-0221-01A-01R-0229-07" "TCGA-06-0237-01A-02R-0229-07" "TCGA-06-0240-01A-02R-0229-07" "TCGA-06-0241-01A-02R-0229-07" "TCGA-02-0004-01A-01R-0300-07" "TCGA-02-0015-01A-01R-0300-07" "TCGA-02-0016-01A-01R-0300-07" "TCGA-02-0023-01B-01R-0300-07" "TCGA-02-0025-01A-01R-0300-07" "TCGA-02-0026-01B-01R-0300-07" "TCGA-02-0039-01A-01R-0300-07"
"LHX1" 1 2 3 1 0 3 1 5 1 2 1 1 4 1 1 3 2 1 3 1 2 2 1 2 1 0 0 0 0 1 1 1 2 1 0 1 0 2 2 1 1 1 1 1 1 1 12 0 1 2 1 1 0 0 0 0 3 2 1 2 1 1 1 0 2 1 0 4 38 1 1 1 0 5 0 1 0 1 1 1 2 1 1 1 1 3 1 0 1 3 1 1 1 0 0 0 0 0 0 0
"KIT" 1 2 1 0 1 1 5 6 1 8 1 0 0 1 0 3 0 2 8 2 0 4 2 6 1 3 1 58 1 2 1 2 1 1 1 2 1 0 0 1 5 0 0 3 1 6 1 0 5 0 3 2 1 1 4 1 2 0 4 0 1 8 12 3 2 11 2 2 0 1 1 7 0 2 2 2 2 32 1 1 3 1 13 0 1 1 1 14 2 38 6 11 217 1 1 1 2 1 1 2
"GSC" 12 2 3 3 5 1 0 0 1 0 1 2 2 3 4 3 5 2 1 1 1 1 1 0 1 0 1 0 1 0 4 1 3 5 2 1 0 3 4 0 0 3 2 5 1 2 1 1 2 5 1 1 3 1 0 1 0 0 0 8 2 3 2 3 1 0 0 4 8 1 2 3 2 1 2 1 7 0 1 2 1 5 4 1 1 5 3 0 1 2 2 0 1 26 9 38 54 24 7 28
"EN1" 15 15 6 7 16 6 1 18 1 10 6 3 1 13 9 1 18 6 2 14 2 3 1 9 1 22 10 5 1 1 30 9 21 5 18 9 2 5 19 1 3 8 18 1 27 3 27 13 13 149 37 1 0 74 0 32 19 1 3 4 6 14 5 5 2 1 27 5 5 7 12 23 16 3 4 19 24 6 3 2 1 2 12 25 1 0 4 1 3 2 44 1 14 1 2 3 1 3 3 1
"MAGEH1" 9 42 21 48 0 17 85 39 10 17 13 15 18 12 5 4 3 28 31 3 19 12 42 38 12 53 5 69 13 45 19 24 18 19 2 17 17 69 37 12 15 1 2 6 17 84 52 15 49 4 63 15 13 11 42 19 35 8 27 6 7 40 36 35 23 50 23 19 6 40 16 38 7 93 9 31 12 52 10 6 11 9 20 8 10 17 24 73 22 49 33 123 54 0 1 0 0 0 0 1
"SCGB1D1" 3 3 4 52 3 2 1 1 1 3 1 1 2 1 2 11 0 4 2 73 1 18 13 2 1 1 1 1 2 3 3 10 1 70 12 1 8 2 1 9 11 3 1 3 2 3 1 1 45 1 6 0 33 34 37 2 15 1 26 5 1 4 14 9 16 4 2 5 1 8 14 1 1 2 2 23 8 23 7 1 2 2 2 3 1 1 2 3 3 2 52 9 3 0 1 0 0 0 1 1
"CCDC173" 13 10 2 171 54 2 28 3 3 6 6 4 2 17 8 99 27 31 3 3 1 22 82 7 2 3 20 14 2 55 2 16 3 21 29 44 34 12 4 12 19 18 11 44 10 72 34 6 79 24 59 2 166 14 99 27 11 2 38 2 5 34 34 29 7 85 16 26 3 12 16 11 3 5 4 32 60 34 4 3 21 3 5 3 9 21 12 69 16 5 12 99 7 1 1 1 1 2 1 1
"LPHN3" 21 57 24 17 39 50 50 51 24 30 24 22 24 33 23 34 64 58 31 14 9 27 37 29 44 1299 64 165 42 111 28 27 29 41 11 60 21 16 91 45 46 67 73 99 91 119 177 6 24 194 22 35 37 71 52 137 50 13 27 16 31 33 24 32 9 30 30 36 29 28 19 33 8 25 33 29 49 40 10 21 10 10 27 9 24 10 25 59 13 15 16 40 57 1 1 0 0 1 0 1
"CNN1" 1 0 6 1 0 0 0 0 0 1 0 0 30 1 11 3 1 0 1 1 65 6 1 1 1 0 3 1 3 0 2 1 1 14 2 1 2 1 0 2 1 3 15 2 0 1 0 4 0 3 0 1 0 0 0 0 0 1 2 0 7 0 1 1 1 2 1 1 2 0 2 1 1 0 2 3 3 1 3 12 0 12 0 2 0 0 0 0 0 0 0 1 0 1 1 1 0 0 1 1
"PAK3" 12 27 4 4 4 43 20 39 1 42 26 32 1 7 2 2 9 23 9 30 3 2 5 12 2 25 8 36 8 26 6 29 4 9 10 6 5 1 34 20 6 7 2 5 16 23 42 1 21 8 5 2 4 26 82 20 1 1 20 1 2 44 26 16 3 175 12 21 8 6 21 52 13 10 1 5 1 26 1 3 23 1 6 1 12 3 4 95 4 9 13 133 18 1 2 2 1 2 3 1
"DOK5" 9 25 13 11 24 4 12 1 30 4 4 32 10 14 52 40 29 18 15 41 4 11 18 2 27 2 27 12 14 9 125 9 28 59 20 64 17 32 16 59 36 49 22 66 23 18 4 20 45 26 41 13 20 23 3 16 47 110 49 40 61 42 36 16 11 10 6 26 58 14 65 43 42 25 16 21 77 8 36 16 27 20 16 78 154 146 20 4 30 12 66 25 10 1 1 0 0 1 0 1
"ATL1" 25 43 19 19 8 17 19 28 4 31 14 15 8 9 14 25 9 31 48 14 7 22 36 32 14 16 13 14 3 42 54 80 18 63 15 12 24 18 55 54 15 15 11 18 20 24 21 11 58 20 16 18 13 22 113 13 28 27 98 21 25 21 16 17 19 118 17 55 7 27 29 37 8 67 11 19 20 16 9 16 44 8 38 39 18 34 18 174 28 80 17 448 23 1 0 0 0 0 0 0
"HMOX1" 5 1 9 2 0 1 7 0 1 8 3 4 10 4 9 4 1 5 3 29 8 6 2 5 88 0 8 4 5 0 5 1 13 6 4 6 6 2 1 7 0 23 8 5 2 3 13 12 2 6 13 248 67 32 3 69 5 11 2 8 3 8 5 2 4 0 5 5 20 5 14 7 12 6 5 2 2 3 8 22 1 4 1 4 1 4 25 0 2 1 1 1 6 1 0 3 0 2 1 1
"HIST1H4J" 1 6 11 1 4 1 3 2 7 1 1 0 1 2 3 22 2 0 17 2 13 2 1 2 2 1 0 1 2 4 20 2 6 2 10 5 2 10 4 6 6 0 7 0 5 0 3 1 7 12 10 6 1 7 0 1 34 74 28 21 7 9 3 3 9 0 4 10 9 7 10 9 2 23 1 10 3 1 2 2 4 15 8 21 10 10 2 0 6 7 22 5 4 1 0 1 0 0 1 1
"TAS2R4" 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 2 2 2 1 2 2 1 1 1 1 1 2 1 1 1 1 2 2 2 3 3 1 2 1 1 2 1 1 3 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 177 74 86 416 191 194 254
"SIX4" 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 71 25 44 228 2 36 4
"RASL10A" 27 33 8 4 14 18 2 3 3 10 2 6 2 6 6 12 5 25 12 3 5 15 64 26 13 9 14 10 8 367 30 38 23 37 8 8 16 3 53 21 12 8 14 14 21 17 76 8 38 9 33 13 3 14 46 8 3 3 34 1 15 11 43 34 8 99 3 37 15 51 28 8 4 64 34 10 4 145 2 4 41 2 15 3 30 34 14 91 41 49 89 168 5 1 1 1 1 1 1 1
"PENK" 31 2 1 1 1 13 10 1 3 15 1 1 1 3 1 1 1 8 3 3 6 1 8 2 1 55 2 1 2 1 4 36 1 5 360 4 8 1 1 8 3 1 96 3 4 17 19 1 6 1 2 75 1 2 3 0 1 1 9 16 1 1 2 4 1 15 2 11 1 4 1 9 1 2 1 7 1 5 2 4 4 1 2 1 6 1 1 42 3 2 3 26 1 1 1 1 1 1 1 1
"CSPG5" 10 32 11 9 57 18 18 3 31 16 24 65 1 2 4 36 13 24 6 19 1 13 7 36 3 32 28 30 3 31 7 15 5 66 16 30 3 12 17 47 44 12 24 71 45 25 57 1 51 45 33 1 32 29 30 25 69 1 14 3 17 37 74 22 4 18 25 28 7 30 27 54 2 8 30 43 58 46 5 8 12 2 67 3 38 9 33 42 14 5 58 38 59 1 1 1 1 1 1 1
"CA14" 6 3 1 5 0 3 1 0 3 2 1 1 0 0 0 1 0 0 1 8 0 2 0 2 0 3 0 1 0 2 4 1 0 0 1 1 0 1 0 1 1 0 1 1 1 2 0 0 0 1 4 0 0 0 3 0 0 1 1 2 1 0 4 0 1 1 1 0 0 0 3 2 1 3 10 1 0 1 0 1 1 0 1 0 0 0 1 8 1 2 1 2 0 1 1 1 1 2 2 2
"DACH2" 4 2 1 1 0 2 20 8 1 3 1 1 1 1 1 1 0 5 15 1 1 1 3 21 0 1 1 4 1 11 2 4 1 3 17 1 1 1 1 4 1 1 1 1 2 2 2 0 5 0 1 0 5 0 16 0 0 0 24 0 1 5 1 1 3 74 2 6 0 2 1 2 2 1 1 1 0 7 1 1 12 1 1 1 1 0 8 17 3 3 2 162 1 1 1 1 1 1 1 1
"PLD5" 10 34 4 6 6 2 2 1 40 19 7 7 1 1 3 4 2 3 4 15 1 2 2 1 2 4 18 3 1 1 3 4 1 8 7 5 2 1 1 7 6 3 11 39 8 3 7 1 19 8 14 4 16 1 28 18 378 2 5 1 6 7 82 38 1 14 3 4 2 8 6 27 1 2 30 6 23 12 1 3 8 1 12 3 27 3 6 41 8 1 3 24 5 0 0 1 1 2 0 1
"STOX1" 1 2 2 4 2 1 1 0 1 2 2 1 1 1 1 1 1 3 3 6 1 1 92 1 0 2 2 1 1 49 1 3 1 2 5 1 2 1 2 8 1 1 1 0 1 0 4 1 8 1 5 0 6 3 19 0 13 3 19 0 1 9 3 3 4 41 1 11 0 5 5 2 14 14 15 3 3 12 4 5 12 2 3 3 1 13 2 23 8 11 9 102 1 1 1 1 0 1 0 0
"GRIA3" 90 73 20 57 311 69 79 90 142 51 77 502 6 36 22 78 159 55 6 85 8 28 46 32 76 107 149 163 160 217 105 66 147 97 28 198 19 40 94 125 199 334 214 566 395 195 461 20 87 225 67 89 117 151 213 238 275 9 55 21 76 62 135 114 14 138 46 23 34 65 120 138 31 26 159 37 128 141 54 35 50 18 162 30 171 37 64 233 14 26 99 261 69 5 2 3 3 2 2 2
"CLEC14A" 62 28 16 9 58 19 93 13 58 23 21 49 15 52 28 150 34 78 61 68 5 109 7 42 169 122 105 57 71 123 34 85 46 56 155 74 130 52 28 86 176 60 117 156 102 98 48 120 37 99 166 190 139 146 130 99 94 67 72 15 52 63 110 50 16 46 34 48 41 39 172 97 33 16 221 47 152 98 213 52 7 39 82 7 42 31 50 92 14 7 75 83 64 1 1 1 1 1 1 1
"ART3" 1 3 0 0 3 1 0 0 5 1 8 1 0 0 1 0 2 1 1 0 0 1 1 3 0 0 8 0 1 0 6 1 1 8 0 0 1 0 3 1 2 1 1 1 8 0 0 0 1 0 3 0 0 0 14 0 11 0 10 0 3 0 6 1 1 6 3 1 0 5 6 1 0 0 1 1 3 0 0 2 2 0 10 2 2 1 4 5 4 1 7 9 5 3 1 0 1 2 0 2
"TAGLN" 2 1 10 2 0 1 2 1 2 2 2 1 15 9 19 5 3 2 7 1 12 6 1 1 8 3 8 3 4 2 15 10 4 26 11 5 30 4 1 6 5 9 26 11 1 2 0 10 1 24 6 16 7 4 3 4 2 39 23 4 14 2 2 4 6 1 4 3 7 2 9 6 2 1 4 7 10 2 18 8 0 26 1 9 1 4 2 1 3 1 2 1 3 96 10 123 262 24 21 204
"LRG1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 512 4 2 1 2 8 1
"LRP1B" 24 38 8 7 156 47 106 17 26 9 29 83 7 4 14 18 90 24 4 17 3 22 21 14 19 163 73 53 39 110 16 26 16 30 10 111 26 46 35 73 28 105 76 160 77 151 255 5 92 320 15 23 31 25 76 32 40 4 26 65 28 11 38 109 6 82 17 33 20 14 33 69 36 17 122 42 83 32 26 17 7 12 65 37 70 23 25 109 6 14 34 84 42 1 1 1 1 1 1 1
"SLAIN1" 17 112 29 5 47 41 15 32 36 29 43 208 4 10 21 30 22 74 56 11 4 95 15 76 9 7 44 72 10 20 42 90 28 32 17 14 50 4 48 43 16 14 7 8 24 9 41 4 24 11 44 41 4 30 197 20 18 59 40 50 67 25 50 28 17 76 66 32 6 88 75 120 24 37 47 15 23 24 4 35 15 6 51 14 61 43 121 275 76 66 35 243 100 1 1 2 2 1 0 2
"RBP7" 2 6 2 1 2 0 0 0 0 6 2 1 1 1 1 4 1 2 7 0 3 12 1 12 2 2 2 2 0 2 1 14 1 4 2 0 6 2 1 8 0 1 1 1 3 1 1 2 3 2 10 24 2 3 60 1 3 89 41 4 1 4 1 2 10 13 7 8 4 9 9 1 1 7 8 1 1 2 8 2 2 6 3 14 2 10 6 61 15 8 1 154 2 2 2 1 1 3 1 3
"LANCL2" 1 2 1 2 2 1 1 2 53 1 1 1 1 1 1 1 45 1 2 3 1 1 1 1 40 2 1 3 1 1 7 1 1 43 2 96 1 1 2 2 73 39 1 2 1 2 1 1 1 32 1 1 1 1 2 1 26 1 1 1 1 2 2 1 1 1 1 1 1 1 1 3 1 1 2 28 49 2 2 1 1 1 28 0 28 1 1 1 15 1 8 1 3 1 2 1 1 1 1 0
"AMICA1" 6 1 15 2 0 1 0 1 1 2 3 1 3 3 1 1 1 3 3 3 15 8 1 1 13 11 3 3 3 0 1 8 3 8 8 2 45 7 1 1 5 2 1 1 1 4 2 30 1 9 3 17 5 24 3 5 3 44 13 10 4 9 5 1 4 1 1 5 7 3 8 1 3 2 3 1 2 1 11 8 1 14 2 14 1 1 1 1 1 6 1 3 1 0 0 0 0 0 0 0
"RASEF" 21 0 1 2 1 0 0 0 0 0 0 0 0 0 0 2 1 0 0 1 0 0 0 0 0 0 0 0 3 0 1 0 1 1 1 1 0 14 0 1 1 4 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0 3 2 0 4 0 0 0 0 0 0 0 0 0 2 0 4 0 0 0 14 2 0 1 1 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1
"C8orf4" 2 4 13 4 6 4 2 0 4 1 5 8 33 8 18 10 6 8 3 3 53 2 2 3 34 0 18 7 32 1 8 4 22 23 18 27 36 1 9 5 4 46 97 10 3 8 1 8 2 34 17 32 15 23 1 23 4 42 25 26 31 13 4 7 4 1 7 17 13 3 4 7 1 2 21 15 20 3 6 55 1 63 21 31 9 4 3 1 2 37 1 2 2 2 2 2 3 3 4 1
"KCNF1" 24 8 2 0 20 2 2 3 14 2 14 8 2 2 12 12 10 2 2 1 1 2 4 2 3 4 11 1 6 1 34 4 34 11 1 8 1 19 3 7 14 10 30 16 27 1 1 0 12 82 1 1 2 1 5 5 30 1 2 3 17 1 3 12 1 7 6 1 13 4 1 5 1 1 10 17 24 1 7 3 3 9 2 1 18 6 6 7 2 1 2 7 3 0 1 1 0 0 1 1
"ATG16L2" 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 1 0 1 1 1 1 1 1 0 1 0 0 0 0 1 0 0 0 1 1 1 0 1 1 2 1 0 0 1 2 1 1 1 1 0 0 0 0 0 1 0 1 0 1 0 0 1 0 0 0 1 0 1 0 0 1 0 1 1 0 0 0 0 0 0 1 0 0 1 0 0 4 17 68 120 7 30 125
"MARS" 0 3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 8 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 52 4 14 6 6 10
"TYROBP" 102 115 244 73 76 36 66 23 63 44 60 50 327 131 61 241 24 123 139 101 226 213 101 218 545 157 104 158 160 275 141 171 651 235 245 129 381 444 122 191 141 130 162 74 70 272 189 125 171 896 221 186 191 391 149 146 242 811 131 100 116 216 78 54 136 51 59 249 162 90 106 59 58 226 229 56 106 58 99 116 76 187 64 171 45 195 115 80 88 163 202 394 69 6 2 2 2 2 1 2
"LRRC4C" 71 78 40 18 94 8 69 38 5 46 61 77 29 43 39 6 33 125 12 18 13 54 61 116 102 276 84 93 12 136 24 103 14 93 45 182 77 50 12 22 80 183 139 168 94 95 149 24 86 19 60 98 40 135 195 153 47 6 19 22 35 64 63 52 8 71 55 37 40 43 26 63 15 20 71 8 100 38 19 7 22 18 3 25 27 21 49 139 21 22 58 134 61 2 1 1 2 1 1 1
"KIAA1598" 1 4 2 1 1 1 1 1 0 2 1 5 1 0 0 1 0 2 3 0 1 5 2 1 1 0 1 2 0 1 1 7 1 1 1 0 2 0 1 3 0 2 1 0 0 2 6 2 3 0 2 7 0 2 41 1 0 3 3 1 0 1 1 3 2 16 4 5 0 4 2 2 1 1 5 1 1 3 0 2 2 1 2 1 1 3 7 82 6 3 1 31 2 1 1 0 0 1 1 0
"KPNB1" 0 0 0 1 1 1 1 1 1 1 0 1 0 1 0 0 1 0 0 1 0 0 0 0 1 1 1 1 1 1 1 1 1 0 1 1 1 0 1 0 2 1 1 2 1 1 1 1 0 1 0 0 1 1 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 1 1 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 16 1 97 311 1 16 71
"TPPP3" 54 10 23 64 20 1 74 2 5 24 6 1 2 56 13 56 5 93 29 7 4 12 2 25 34 11 9 40 2 2 9 38 66 43 48 12 58 18 2 18 8 5 22 17 4 1 1 14 20 49 6 10 20 24 73 56 10 21 8 6 5 28 4 3 16 18 16 6 25 17 11 6 3 3 7 15 11 29 5 4 6 3 4 2 3 90 10 85 23 3 35 58 11 1 1 1 2 1 1 1
"TAF15" 1 2 2 3 4 24 8 18 10 11 19 1 1 1 1 1 3 1 0 2 1 2 1 2 3 11 2 14 14 17 1 9 1 6 4 17 7 1 2 1 5 2 1 8 11 2 11 3 0 3 0 2 3 2 2 8 1 0 0 0 1 1 2 3 0 2 1 0 2 1 2 1 2 0 1 1 1 2 1 1 1 0 0 0 2 0 1 2 0 0 1 0 0 2 1 0 0 1 1 3
"SPRY4" 6 3 1 0 18 1 0 0 10 14 15 24 1 1 2 1 6 3 1 1 1 1 0 4 1 2 6 1 5 0 2 2 3 2 1 2 1 3 0 2 13 1 7 8 7 0 0 1 1 2 2 1 1 1 1 2 1 1 1 3 2 0 3 3 0 0 3 0 2 2 1 4 1 0 3 1 1 1 3 4 1 3 1 1 7 0 3 0 1 0 0 0 4 1 4 8 27 1 13 7
"MR1" 2 1 1 1 0 0 0 0 1 0 0 0 1 1 1 1 0 1 1 1 1 1 1 0 1 0 1 0 1 0 1 1 2 1 2 0 2 2 0 1 0 1 1 0 0 1 1 2 1 0 1 3 1 2 0 1 3 5 2 3 1 2 1 1 3 0 1 3 1 1 1 0 1 1 3 1 1 1 2 2 1 3 2 3 1 5 1 0 2 1 1 1 1 0 0 0 0 0 0 0
"KIAA2022" 4 11 6 27 2 6 8 22 4 7 7 10 3 5 5 12 0 7 4 1 2 3 4 5 1 14 3 16 13 7 1 5 1 3 1 27 2 12 10 2 1 1 9 0 4 14 16 0 5 0 5 1 45 3 10 9 0 0 9 0 0 22 20 2 2 23 9 17 2 1 8 7 5 2 10 1 1 11 7 4 14 1 1 2 1 1 1 16 3 2 3 20 17 1 2 2 2 1 2 1
"PCDHB16" 2 23 12 2 4 1 1 3 3 1 9 73 3 2 5 1 32 9 1 2 1 6 1 5 19 13 3 10 4 12 5 12 2 1 11 48 3 0 2 2 2 8 24 2 13 18 3 1 1 3 7 3 11 1 3 3 2 1 0 2 20 4 8 26 2 1 8 3 1 1 1 3 0 2 6 5 5 7 4 1 20 4 0 8 2 2 3 1 4 2 5 0 2 0 0 0 0 0 0 1
"RANBP3L" 9 5 8 8 18 6 8 2 3 5 5 9 2 2 2 5 1 12 3 16 4 9 100 2 2 4 8 3 6 9 7 5 2 15 9 3 29 8 6 42 3 13 5 4 7 29 21 29 151 5 21 5 24 140 78 7 29 7 81 8 3 11 26 16 8 186 7 39 5 5 23 3 2 8 49 13 16 46 16 3 17 7 215 3 9 27 7 117 13 9 34 205 3 2 1 1 1 1 1 1
"KIFC3" 1 0 0 0 0 0 1 0 1 1 1 0 1 1 1 0 0 1 0 0 0 0 0 1 1 1 1 0 1 0 0 1 1 1 0 0 0 2 0 1 1 1 1 1 1 1 0 1 0 1 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 26 13 21 30 197 32 175
"BHLHE41" 30 10 48 16 16 2 9 1 4 4 34 2 47 11 30 25 13 22 6 23 15 54 52 16 15 1 21 5 27 7 4 32 37 9 19 11 37 8 1 30 5 22 20 12 10 29 34 60 37 20 44 21 31 21 79 32 11 20 12 28 19 10 48 45 10 27 36 7 8 22 38 13 41 8 53 30 51 81 11 25 25 19 20 10 5 9 65 76 10 14 32 39 5 1 1 0 0 1 2 1
"LRRC4" 10 36 4 5 23 43 39 79 7 30 40 20 2 6 3 15 52 33 5 11 2 10 12 12 7 156 15 72 8 74 7 34 5 14 20 12 4 3 29 19 18 35 24 84 94 112 155 5 41 38 10 24 33 39 202 124 6 4 2 3 3 16 35 22 2 64 13 8 4 11 24 27 3 5 13 7 16 23 4 3 7 2 8 1 13 2 11 33 3 4 15 74 33 4 0 2 4 5 2 3
"VSTM2L" 17 12 7 18 5 4 17 3 1 11 5 1 8 11 3 2 6 12 4 7 13 1 8 6 3 1 10 5 1 4 7 33 2 20 29 5 4 1 2 11 6 4 3 3 14 7 6 1 33 2 7 11 5 8 40 9 3 1 20 3 3 12 3 5 5 57 2 29 1 7 11 10 10 4 2 8 1 4 1 3 20 2 6 2 9 1 4 52 6 13 8 201 6 0 0 0 0 0 1 0
"MAGEE2" 1 5 1 3 1 1 1 15 1 3 5 1 1 1 1 10 1 6 3 9 1 2 7 2 1 11 11 1 1 18 2 2 1 17 40 1 7 1 63 4 1 17 1 2 11 62 22 1 2 16 8 6 33 1 10 13 1 1 6 4 7 1 1 1 6 10 5 2 5 1 1 39 2 9 8 2 19 23 10 3 5 10 2 1 1 40 2 13 5 3 23 36 11 0 0 1 0 1 1 1
"THSD4" 0 0 2 0 1 2 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 12 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 25 5 7 13 40 6 7
"CENPP" 1 1 1 1 0 1 0 1 1 0 0 2 1 1 1 1 0 1 1 4 1 0 0 0 0 0 1 1 1 0 2 0 1 0 0 0 0 1 2 0 0 0 0 0 1 0 0 1 0 0 1 1 0 0 0 0 1 1 2 1 1 1 1 0 1 0 1 1 0 1 1 1 1 1 0 1 1 1 1 0 2 0 1 0 1 1 1 0 2 1 0 1 1 2 25 8 31 232 168 159
