"V1" "V2"
"1" 9.97994381976595 11.541883223806
"2" 11.2040682518056 9.35091494670156
"3" 10.6939657250849 8.89770903689204
"4" 10.130557306943 11.612467904889
"5" 10.1454244623094 11.5703400175547
"6" 8.94105220268991 11.4671099203665
"7" 9.36220210334593 11.3515228295748
"8" 8.25006122307732 10.0603940697396
"9" 8.25734538804991 10.1759241728133
"10" 8.38659886180254 10.1261424162942
"11" 8.347656344425 9.84716242381833
"12" 8.54183556314483 10.4216042090742
"13" 9.94989265722536 8.53836347335086
"14" 9.32565686096833 10.9359754193725
"15" 7.53942746363491 9.21958623790766
"16" 8.87834536745695 7.23521688051546
"17" 7.53244818271928 9.80670739340996
"18" 9.04979835893731 7.55551585045547
"19" 8.37447485729005 6.89349812890196
"20" 8.25679011240299 9.76761935929996
"21" 11.0931302675236 8.17347022155418
"22" 7.91705403350485 9.32095462511703
"23" 8.43548451933074 6.98305602512408
"24" 9.50740841049222 8.06392222366268
"25" 7.35568861565413 9.00160535781937
"26" 9.95225491512953 8.2662489842831
"27" 7.72263380845348 9.26107004936616
"28" 7.75277781219918 9.2828492638768
"29" 8.11272669354617 6.55761655975214
"30" 7.9485390373134 5.83935595176522
"31" 10.0788138896786 6.94129301302905
"32" 6.95912410966663 10.2390949110392
"33" 7.91610006942296 6.22515163593655
"34" 8.64907847157299 6.94500769025874
"35" 7.0086348085685 9.44083587661333
"36" 8.98987102821115 7.42526769185222
"37" 8.49807265203285 7.01402060363324
"38" 8.58474188848559 7.04214731368537
"39" 9.57694146221464 7.43329440820015
"40" 8.52104674339063 7.09552990346888
"41" 6.763353073018 8.58385164531204
"42" 7.98943718527841 6.2966389920711
"43" 6.47975375813412 8.28921723458082
"44" 9.20066183165955 7.6766372230033
"45" 9.21086368573916 6.87690200330712
"46" 8.16376692068006 5.99984436217703
"47" 6.364915785557 8.49620314977559
"48" 7.22052050218857 4.9198812281177
"49" 10.4902001128107 8.26774511066423
"50" 7.07992323480022 9.59519775828014
"51" 7.39716281361206 8.94097993501835
"52" 7.72386138344585 6.10430194323626
"53" 6.78204520603016 8.28321561788722
"54" 8.08746310375235 5.88318884947243
"55" 6.26665446140949 8.17990336848474
"56" 8.15635687759636 9.95698173545832
"57" 6.75618326566994 8.54165749828951
"58" 7.25751749384627 9.23255900539792
"59" 6.85876316623079 9.10039419844668
"60" 8.01878173408079 6.40048437045343
"61" 8.96469081368705 7.45543239189848
"62" 7.84201434455674 5.99129840831417
"63" 6.71474607580576 8.23167602796314
"64" 7.08385303637412 9.32092668812425
