	A427	A549	Detroit562	FaDu	H1299	H1395	H1703	H2126	H2170	H2228	H358	H441	H520	H522	H596	HCC827	KYSE30	OE21	PC9	SCC15	SCC25	SKMES1	SW900
C21orf2|755	620	275	288	268	376	374	303	243	320	351	553	558	257	1118	555	455	213	224	312	203	169	190	391
C21orf33|8209	2938	1769	1781	1911	2137	4093	1527	3363	2063	3126	3102	2150	2501	7649	2914	2347	1642	1225	1510	775	826	3253	1591
C21orf34|388815	351	31	3	0	0	1	42	0	59	6	6	0	0	368	5	0	20	1	2	0	0	6	1
C21orf45|54069	662	859	543	408	915	1199	523	1022	854	999	1938	1070	1915	2061	470	910	846	540	614	196	686	1860	541
C21orf49|54067	32	3	2	0	7	4	0	0	2	11	5	26	17	10	4	1	3	1	1	1	0	8	1
C21orf54|728409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C21orf56|84221	915	0	334	228	541	576	0	536	17	697	1047	284	650	1475	797	576	793	2	366	256	1	2480	356
C21orf57|54059	1118	522	208	311	695	393	571	267	76	934	774	356	386	774	389	555	833	441	303	192	107	189	268
C21orf58|54058	900	780	180	220	882	396	614	436	520	976	867	756	410	3213	510	389	474	276	454	123	111	868	438
C21orf59|56683	4573	2277	1036	744	2579	4639.39	1687.51	3747.52	2017	2867	4902.26	1913.9	3411.23	5236.13	2273.28	2357.04	2032	1406.47	1983.51	353	992.68	4572	1479
C21orf62|56245	1	0	0	1	5	0	0	0	1	2	1	2	1	10	0	0	0	2	1	1	1	2	1
C21orf63|59271	76	1109	92	16	0	2623	603	2133	9	1	139	0	205	15	3170	0	69	356	27	86	149	1782	87
C21orf67|84536	379	177	48	36	25	45	93	190	10	50	291	548	60	305	245	126	71	81	19	64	50	224	57
C21orf70|85395	592	883	354	504	471	367	448	480	456	604	976	617	450	1004	333	866	623	394	347	261	276	1307	362
C21orf71|282566	0	2	1	0	2	0	2	2	1	2	1	1	0	4	1	2	1	0	0	0	2	0	0
